meal_id,week,num_orders,checkout_price,base_price,emailer_for_promotion,homepage_featured,category,cuisine,price_ratio,price_discount,selling_price,unit_cost,holding_cost,shortage_cost,shelf_life_weeks,week_of_year,lag_1,lag_4,rolling_4,rolling_8
1062,9,39054,158.5963157894737,168.5048684210526,0,0,Beverages,Italian,0.9412,9.91,158.6,63.44,3.172,79.3,2,9,35933.0,29324.0,35309.25,31982.875
1062,10,38642,159.39,168.74578947368423,0,0,Beverages,Italian,0.9446,9.36,159.39,63.76,3.188,79.69,2,10,39054.0,36095.0,37741.75,33246.75
1062,11,39063,159.58973684210525,167.9528947368421,0,0,Beverages,Italian,0.9502,8.36,159.59,63.84,3.192,79.79,2,11,38642.0,39885.0,38378.5,34740.125
1062,12,31458,176.43276315789473,176.41960526315788,0,0,Beverages,Italian,1.0001,-0.01,176.43,70.57,3.528,88.22,2,12,39063.0,35933.0,38173.0,36142.5
1062,13,25897,180.31592105263158,179.93434210526317,0,0,Beverages,Italian,1.0021,-0.38,180.32,72.13,3.606,90.16,2,13,31458.0,39054.0,37054.25,36181.75
1062,14,22265,179.69855263157896,179.6853947368421,0,0,Beverages,Italian,1.0001,-0.01,179.7,71.88,3.594,89.85,2,14,25897.0,38642.0,33765.0,35753.375
1062,15,24316,180.0953947368421,180.16486842105263,0,0,Beverages,Italian,0.9996,0.07,180.1,72.04,3.602,90.05,2,15,22265.0,39063.0,29670.75,34024.625
1062,16,23879,180.3371052631579,180.25815789473685,0,0,Beverages,Italian,1.0004,-0.08,180.34,72.13,3.606,90.17,2,16,24316.0,31458.0,25984.0,32078.5
1062,17,38622,159.24842105263158,179.25144736842105,1,1,Beverages,Italian,0.8884,20.0,159.25,63.7,3.185,79.62,2,17,23879.0,25897.0,24089.25,30571.75
1062,18,37932,158.30236842105262,179.08671052631578,1,1,Beverages,Italian,0.8839,20.78,158.3,63.32,3.166,79.15,2,18,38622.0,22265.0,27270.5,30517.75
